Unique ID,Match Name,Date,Event,Brand/Promotion,YouTube Link,Dailymotion Link,Other Link,Thumbnail Link
"Bret Hart vs. Stone Cold Steve Austin - WWF - March 23, 1997 - WrestleMania 13",Bret Hart vs. Stone Cold Steve Austin,"March 23, 1997",WrestleMania 13,WWF,,,,
"Koji Kanemoto vs. El Samurai - NJPW - June 5, 1997 - Best of the Super Juniors IV Night 17 (Final)",Koji Kanemoto vs. El Samurai,"June 5, 1997",Best of the Super Juniors IV Night 17 (Final),NJPW,,,,
"Mitsuharu Misawa vs. Toshiaki Kawada - AJPW - June 6, 1997 - Super Power Series Night 16",Mitsuharu Misawa vs. Toshiaki Kawada,"June 6, 1997",Super Power Series Night 16,AJPW,,,,
"Shawn Michaels vs. The Undertaker - WWF - October 5, 1997 - In Your House 18: Badd Blood",Shawn Michaels vs. The Undertaker,"October 5, 1997",In Your House 18: Badd Blood,WWF,,,,
"The Holy Demon Army ( Toshiaki Kawada and Akira Taue ) vs. Jun Akiyama and Mitsuharu Misawa - AJPW - December 5, 1997 - Real World Tag League Night 15 (Final)",The Holy Demon Army ( Toshiaki Kawada and Akira Taue ) vs. Jun Akiyama and Mitsuharu Misawa,"December 5, 1997",Real World Tag League Night 15 (Final),AJPW,,,,
"Kiyoshi Tamura vs. Tsuyoshi Kosaka - RINGS - June 27, 1998 - Fourth Fighting Integration",Kiyoshi Tamura vs. Tsuyoshi Kosaka,"June 27, 1998",Fourth Fighting Integration,RINGS,,,,
"Kenta Kobashi vs. Mitsuharu Misawa - AJPW - October 31, 1998 - 26th Anniversary Show",Kenta Kobashi vs. Mitsuharu Misawa,"October 31, 1998",26th Anniversary Show,AJPW,,,,
"Mitsuharu Misawa vs. Kenta Kobashi - AJPW - June 11, 1999 - Super Power Series Night 14",Mitsuharu Misawa vs. Kenta Kobashi,"June 11, 1999",Super Power Series Night 14,AJPW,,,,
"Mitsuharu Misawa and Yoshinari Ogawa vs. Burning ( Kenta Kobashi and Jun Akiyama ) - AJPW - October 23, 1999 - October Giant Series Night 11",Mitsuharu Misawa and Yoshinari Ogawa vs. Burning ( Kenta Kobashi and Jun Akiyama ),"October 23, 1999",October Giant Series Night 11,AJPW,,,,
"Masanobu Fuchi and Toshiaki Kawada vs. Takashi Iizuka and Yuji Nagata - NJPW - December 14, 2000 - The 2nd Judgement!!",Masanobu Fuchi and Toshiaki Kawada vs. Takashi Iizuka and Yuji Nagata,"December 14, 2000",The 2nd Judgement!!,NJPW,,,,
"Mitsuharu Misawa vs. Kenta Kobashi - Noah - March 1, 2003 - Navigate For Evolution",Mitsuharu Misawa vs. Kenta Kobashi,"March 1, 2003",Navigate For Evolution,Noah,,,,
"Kenta Kobashi vs. Jun Akiyama - Noah - July 10, 2004 - Departure",Kenta Kobashi vs. Jun Akiyama,"July 10, 2004",Departure,Noah,,,,
"Samoa Joe vs. CM Punk - ROH - October 16, 2004 - Joe vs. Punk II",Samoa Joe vs. CM Punk,"October 16, 2004",Joe vs. Punk II,ROH,,,,
"Christopher Daniels vs. AJ Styles vs. Samoa Joe - TNA - September 11, 2005 - Unbreakable",Christopher Daniels vs. AJ Styles vs. Samoa Joe,"September 11, 2005",Unbreakable,TNA,,,,
"Samoa Joe vs. Kenta Kobashi - ROH - October 1, 2005 - Joe vs. Kobashi",Samoa Joe vs. Kenta Kobashi,"October 1, 2005",Joe vs. Kobashi,ROH,,,,
"Cima , Masato Yoshino , and Naruki Doi vs. Dragon Kid , Genki Horiguchi , and Ryo Saito - ROH - March 31, 2006 - Supercard of Honor","Cima , Masato Yoshino , and Naruki Doi vs. Dragon Kid , Genki Horiguchi , and Ryo Saito","March 31, 2006",Supercard of Honor,ROH,,,,
"CM Punk vs. John Cena - WWE - July 17, 2011 - Money in the Bank",CM Punk vs. John Cena,"July 17, 2011",Money in the Bank,WWE,,,,
"Davey Richards vs. Michael Elgin - ROH - March 31, 2012 - Showdown in the Sun",Davey Richards vs. Michael Elgin,"March 31, 2012",Showdown in the Sun,ROH,,,,
"Hiroshi Tanahashi vs. Minoru Suzuki - NJPW - October 8, 2012 - King of Pro Wrestling",Hiroshi Tanahashi vs. Minoru Suzuki,"October 8, 2012",King of Pro Wrestling,NJPW,,,,
"Hiroshi Tanahashi vs. Kazuchika Okada - NJPW - April 7, 2013 - Invasion Attack",Hiroshi Tanahashi vs. Kazuchika Okada,"April 7, 2013",Invasion Attack,NJPW,,,,
"Katsuyori Shibata vs. Tomohiro Ishii - NJPW - August 4, 2013 - G1 Climax 23 Night 4",Katsuyori Shibata vs. Tomohiro Ishii,"August 4, 2013",G1 Climax 23 Night 4,NJPW,,,,
"Kazuchika Okada vs. Hiroshi Tanahashi - NJPW - October 14, 2013 - King of Pro Wrestling",Kazuchika Okada vs. Hiroshi Tanahashi,"October 14, 2013",King of Pro Wrestling,NJPW,,,,
"Hiroshi Tanahashi vs. Katsuyori Shibata - NJPW - September 21, 2014 - Destruction in Kobe",Hiroshi Tanahashi vs. Katsuyori Shibata,"September 21, 2014",Destruction in Kobe,NJPW,,,,
"Shinsuke Nakamura vs. Kota Ibushi - NJPW - January 4, 2015 - Wrestle Kingdom 9",Shinsuke Nakamura vs. Kota Ibushi,"January 4, 2015",Wrestle Kingdom 9,NJPW,,,,
"Tomoaki Honma vs. Tomohiro Ishii - NJPW - February 14, 2015 - The New Beginning in Sendai",Tomoaki Honma vs. Tomohiro Ishii,"February 14, 2015",The New Beginning in Sendai,NJPW,,,,
"Hiroshi Tanahashi vs. Shinsuke Nakamura - NJPW - August 16, 2015 - G1 Climax 25 Final",Hiroshi Tanahashi vs. Shinsuke Nakamura,"August 16, 2015",G1 Climax 25 Final,NJPW,,,,
"Masaaki Mochizuki vs. Shingo Takagi - DG - November 1, 2015 - Gate of Destiny",Masaaki Mochizuki vs. Shingo Takagi,"November 1, 2015",Gate of Destiny,DG,,,,
"Kazuchika Okada vs. Hiroshi Tanahashi - NJPW - January 4, 2016 - Wrestle Kingdom 10",Kazuchika Okada vs. Hiroshi Tanahashi,"January 4, 2016",Wrestle Kingdom 10,NJPW,,,,
"Kazuchika Okada vs. Tomohiro Ishii - NJPW - August 6, 2016 - G1 Climax 26 Night 13",Kazuchika Okada vs. Tomohiro Ishii,"August 6, 2016",G1 Climax 26 Night 13,NJPW,,,,
"Kenny Omega vs. Tetsuya Naito - NJPW - August 13, 2016 - G1 Climax 26 Night 18",Kenny Omega vs. Tetsuya Naito,"August 13, 2016",G1 Climax 26 Night 18,NJPW,,,,
"Superkliq ( Adam Cole , Matt Jackson , and Nick Jackson ) vs. Matt Sydal , Ricochet , and Will Ospreay - PWG - September 3, 2016 - Battle of Los Angeles Night 2","Superkliq ( Adam Cole , Matt Jackson , and Nick Jackson ) vs. Matt Sydal , Ricochet , and Will Ospreay","September 3, 2016",Battle of Los Angeles Night 2,PWG,,,,
"Kazuchika Okada vs. Kenny Omega - NJPW - January 4, 2017 - Wrestle Kingdom 11",Kazuchika Okada vs. Kenny Omega,"January 4, 2017",Wrestle Kingdom 11,NJPW,,,,
"Tetsuya Naito vs. Michael Elgin - NJPW - February 11, 2017 - The New Beginning in Osaka",Tetsuya Naito vs. Michael Elgin,"February 11, 2017",The New Beginning in Osaka,NJPW,,,,
"Kazuchika Okada vs. Katsuyori Shibata - NJPW - April 9, 2017 - Sakura Genesis",Kazuchika Okada vs. Katsuyori Shibata,"April 9, 2017",Sakura Genesis,NJPW,,,,
"Kushida vs. Will Ospreay - NJPW - June 3, 2017 - Best of the Super Juniors Final",Kushida vs. Will Ospreay,"June 3, 2017",Best of the Super Juniors Final,NJPW,,,,
"Kazuchika Okada vs. Kenny Omega - NJPW - June 11, 2017 - Dominion 6.11 in Osaka-jo Hall",Kazuchika Okada vs. Kenny Omega,"June 11, 2017",Dominion 6.11 in Osaka-jo Hall,NJPW,,,,
"Hiroshi Tanahashi vs. Tetsuya Naito - NJPW - August 11, 2017 - G1 Climax 27 Night 17",Hiroshi Tanahashi vs. Tetsuya Naito,"August 11, 2017",G1 Climax 27 Night 17,NJPW,,,,
"Kazuchika Okada vs. Kenny Omega - NJPW - August 12, 2017 - G1 Climax 27 Night 18",Kazuchika Okada vs. Kenny Omega,"August 12, 2017",G1 Climax 27 Night 18,NJPW,,,,
"Tetsuya Naito vs. Kenny Omega - NJPW - August 13, 2017 - G1 Climax 27 Final",Tetsuya Naito vs. Kenny Omega,"August 13, 2017",G1 Climax 27 Final,NJPW,,,,
"Donovan Dijak vs. Keith Lee - PWG - September 3, 2017 - Battle of Los Angeles Night 3",Donovan Dijak vs. Keith Lee,"September 3, 2017",Battle of Los Angeles Night 3,PWG,,,,
"Walter vs. Zack Sabre Jr. - PWG - October 21, 2017 - All Star Weekend 13 Night 2",Walter vs. Zack Sabre Jr.,"October 21, 2017",All Star Weekend 13 Night 2,PWG,,,,
"Kenny Omega vs. Chris Jericho - NJPW - January 4, 2018 - Wrestle Kingdom 12",Kenny Omega vs. Chris Jericho,"January 4, 2018",Wrestle Kingdom 12,NJPW,,,,
"Andrade ""Cien"" Almas vs. Johnny Gargano - WWE - January 27, 2018 - NXT TakeOver: Philadelphia","Andrade ""Cien"" Almas vs. Johnny Gargano","January 27, 2018",NXT TakeOver: Philadelphia,WWE,,,,
"Golden Lovers ( Kenny Omega and Kota Ibushi ) vs. The Young Bucks ( Matt Jackson and Nick Jackson ) - NJPW - March 25, 2018 - Strong Style Evolved",Golden Lovers ( Kenny Omega and Kota Ibushi ) vs. The Young Bucks ( Matt Jackson and Nick Jackson ),"March 25, 2018",Strong Style Evolved,NJPW,,,,
"Will Ospreay vs. Marty Scurll - NJPW - April 1, 2018 - Sakura Genesis",Will Ospreay vs. Marty Scurll,"April 1, 2018",Sakura Genesis,NJPW,,,,
"Adam Cole vs. EC3 vs. Killian Dain vs. Lars Sullivan vs. Ricochet vs. Velveteen Dream - WWE - April 7, 2018 - NXT TakeOver: New Orleans",Adam Cole vs. EC3 vs. Killian Dain vs. Lars Sullivan vs. Ricochet vs. Velveteen Dream,"April 7, 2018",NXT TakeOver: New Orleans,WWE,,,,
"Johnny Gargano vs. Tommaso Ciampa - WWE - April 7, 2018 - NXT TakeOver: New Orleans",Johnny Gargano vs. Tommaso Ciampa,"April 7, 2018",NXT TakeOver: New Orleans,WWE,,,,
"A-Kid vs. Zack Sabre Jr. - La Triple W - April 14, 2018 - Total Rumble 8",A-Kid vs. Zack Sabre Jr.,"April 14, 2018",Total Rumble 8,La Triple W,,,,
"Kazuchika Okada vs. Hiroshi Tanahashi - NJPW - May 4, 2018 - Wrestling Dontaku",Kazuchika Okada vs. Hiroshi Tanahashi,"May 4, 2018",Wrestling Dontaku,NJPW,,,,
"Taiji Ishimori vs. Hiromu Takahashi - NJPW - June 4, 2018 - Best of the Super Juniors Final",Taiji Ishimori vs. Hiromu Takahashi,"June 4, 2018",Best of the Super Juniors Final,NJPW,,,,
"Kazuchika Okada vs. Kenny Omega - NJPW - June 9, 2018 - Dominion 6.9 in Osaka-jo Hall",Kazuchika Okada vs. Kenny Omega,"June 9, 2018",Dominion 6.9 in Osaka-jo Hall,NJPW,,,,
"Moustache Mountain ( Trent Seven and Tyler Bate ) vs. The Undisputed Era ( Kyle O'Reilly and Roderick Strong ) - WWE - June 21, 2018 - NXT",Moustache Mountain ( Trent Seven and Tyler Bate ) vs. The Undisputed Era ( Kyle O'Reilly and Roderick Strong ),"June 21, 2018",NXT,WWE,,,,
"Kenny Omega vs. Tetsuya Naito - NJPW - July 15, 2018 - G1 Climax 28 Night 2",Kenny Omega vs. Tetsuya Naito,"July 15, 2018",G1 Climax 28 Night 2,NJPW,,,,
"Hirooki Goto vs. Kenny Omega - NJPW - July 19, 2018 - G1 Climax 28 Night 4",Hirooki Goto vs. Kenny Omega,"July 19, 2018",G1 Climax 28 Night 4,NJPW,,,,
"Hirooki Goto vs. Tomohiro Ishii - NJPW - July 21, 2018 - G1 Climax 28 Night 6",Hirooki Goto vs. Tomohiro Ishii,"July 21, 2018",G1 Climax 28 Night 6,NJPW,,,,
"Kenny Omega vs. Tomohiro Ishii - NJPW - August 4, 2018 - G1 Climax 28 Night 14",Kenny Omega vs. Tomohiro Ishii,"August 4, 2018",G1 Climax 28 Night 14,NJPW,,,,
"Hiroshi Tanahashi vs. Kazuchika Okada - NJPW - August 10, 2018 - G1 Climax 28 Night 17",Hiroshi Tanahashi vs. Kazuchika Okada,"August 10, 2018",G1 Climax 28 Night 17,NJPW,,,,
"Kenny Omega vs. Kota Ibushi - NJPW - August 11, 2018 - G1 Climax 28 Night 18",Kenny Omega vs. Kota Ibushi,"August 11, 2018",G1 Climax 28 Night 18,NJPW,,,,
"Hiroshi Tanahashi vs. Kota Ibushi - NJPW - August 12, 2018 - G1 Climax 28 Final",Hiroshi Tanahashi vs. Kota Ibushi,"August 12, 2018",G1 Climax 28 Final,NJPW,,,,
"Hiroshi Tanahashi vs. Kazuchika Okada - NJPW - September 23, 2018 - Destruction in Kobe",Hiroshi Tanahashi vs. Kazuchika Okada,"September 23, 2018",Destruction in Kobe,NJPW,,,,
"Chaos ( Kazuchika Okada and Tomohiro Ishii ) vs. Golden Lovers ( Kenny Omega and Kota Ibushi ) - NJPW - September 30, 2018 - Fighting Spirit Unleashed",Chaos ( Kazuchika Okada and Tomohiro Ishii ) vs. Golden Lovers ( Kenny Omega and Kota Ibushi ),"September 30, 2018",Fighting Spirit Unleashed,NJPW,,,,
"Hiroshi Tanahashi and Will Ospreay vs. Golden Lovers ( Kenny Omega and Kota Ibushi ) - NJPW - December 15, 2018 - Road to Tokyo Dome Night 2",Hiroshi Tanahashi and Will Ospreay vs. Golden Lovers ( Kenny Omega and Kota Ibushi ),"December 15, 2018",Road to Tokyo Dome Night 2,NJPW,,,,
"Kenny Omega vs. Hiroshi Tanahashi - NJPW - January 4, 2019 - Wrestle Kingdom 13",Kenny Omega vs. Hiroshi Tanahashi,"January 4, 2019",Wrestle Kingdom 13,NJPW,,,,
"Kazuchika Okada vs. Sanada - NJPW - March 24, 2019 - New Japan Cup Final",Kazuchika Okada vs. Sanada,"March 24, 2019",New Japan Cup Final,NJPW,,,,
"Adam Cole vs. Johnny Gargano - WWE - April 5, 2019 - NXT TakeOver: New York",Adam Cole vs. Johnny Gargano,"April 5, 2019",NXT TakeOver: New York,WWE,,,,
"Will Ospreay vs. Bandido - NJPW - May 23, 2019 - Best of the Super Juniors Night 8",Will Ospreay vs. Bandido,"May 23, 2019",Best of the Super Juniors Night 8,NJPW,,,,
"Cody Rhodes vs. Dustin Rhodes - AEW - May 25, 2019 - Double or Nothing",Cody Rhodes vs. Dustin Rhodes,"May 25, 2019",Double or Nothing,AEW,,,,
"Johnny Gargano vs. Adam Cole - WWE - June 1, 2019 - NXT TakeOver: XXV",Johnny Gargano vs. Adam Cole,"June 1, 2019",NXT TakeOver: XXV,WWE,,,,
